,State
0,Arizona
1,Arkansas
2,Colorado
3,Connecticut
4,Delaware
5,Florida
6,Georgia
7,Hawaii
8,Idaho
9,Illinois
10,Indiana
11,Iowa
12,Louisiana
13,Maine
14,Maryland
15,Massachusetts
16,Michigan
17,Minnesota
18,Mississippi
19,Missouri
20,Montana
21,Nevada
22,New Hampshire
23,New Jersey
24,New Mexico
25,North Carolina
26,North Dakota
27,Oklahoma
28,Oregon
29,Pennsylvania
30,Rhode Island
31,South Carolina
32,South Dakota
33,Tennessee
34,Texas
35,Utah
36,Vermont
37,Virginia
38,Washington
39,West Virginia
40,Wisconsin
